10,,,#VALUE!,#VALUE!,420
107. (WR49),,,#VALUE!,#VALUE!,421
"Hollywood Brown, KC",,,107,Hollywood Brown,422
$2 ,,,#VALUE!,#VALUE!,423
6,,,#VALUE!,#VALUE!,424
187. (K7),,,#VALUE!,#VALUE!,425
"Evan McPherson, CIN",,,187,Evan McPherson,426
$0 ,,,#VALUE!,#VALUE!,427
12,,,#VALUE!,#VALUE!,428
267. (QB28),,,#VALUE!,#VALUE!,429
"Bo Nix, DEN",,,267,Bo Nix,430
$0 ,,,#VALUE!,#VALUE!,431
14,,,#VALUE!,#VALUE!,432
28. (RB12),,,#VALUE!,#VALUE!,433
"Joe Mixon, HOU",,,28,Joe Mixon,434
$29 ,,,#VALUE!,#VALUE!,435
14,,,#VALUE!,#VALUE!,436
108. (WR50),,,#VALUE!,#VALUE!,437
"DeAndre Hopkins, TEN",,,108,DeAndre Hopkins,438
$2 ,,,#VALUE!,#VALUE!,439
5,,,#VALUE!,#VALUE!,440
188. (K8),,,#VALUE!,#VALUE!,441
"Jake Moody, SF",,,188,Jake Moody,442
$0 ,,,#VALUE!,#VALUE!,443
9,,,#VALUE!,#VALUE!,444
268. (QB29),,,#VALUE!,#VALUE!,445
"Derek Carr, NO",,,268,Derek Carr,446
$0 ,,,#VALUE!,#VALUE!,447
12,,,#VALUE!,#VALUE!,448
29. (RB13),,,#VALUE!,#VALUE!,449
"Kenneth Walker III, SEA",,,29,Kenneth Walker III,450
$28 ,,,#VALUE!,#VALUE!,451
10,,,#VALUE!,#VALUE!,452
109. (WR51),,,#VALUE!,#VALUE!,453
"Tyler Lockett, SEA",,,109,Tyler Lockett,454
$2 ,,,#VALUE!,#VALUE!,455
10,,,#VALUE!,#VALUE!,456
189. (K9),,,#VALUE!,#VALUE!,457
"Cameron Dicker, LAC",,,189,Cameron Dicker,458
$0 ,,,#VALUE!,#VALUE!,459
5,,,#VALUE!,#VALUE!,460
269. (QB30),,,#VALUE!,#VALUE!,461
"Drake Maye, NE",,,269,Drake Maye,462
$0 ,,,#VALUE!,#VALUE!,463
14,,,#VALUE!,#VALUE!,464
30. (RB14),,,#VALUE!,#VALUE!,465
"James Cook, BUF",,,30,James Cook,466
$27 ,,,#VALUE!,#VALUE!,467
12,,,#VALUE!,#VALUE!,468
110. (TE11),,,#VALUE!,#VALUE!,469
"Brock Bowers, LV",,,110,Brock Bowers,470
$2 ,,,#VALUE!,#VALUE!,471
10,,,#VALUE!,#VALUE!,472
190. (K10),,,#VALUE!,#VALUE!,473
"Cairo Santos, CHI",,,190,Cairo Santos,474
$0 ,,,#VALUE!,#VALUE!,475
7,,,#VALUE!,#VALUE!,476
270. (QB31),,,#VALUE!,#VALUE!,477
"Sam Darnold, MIN",,,270,Sam Darnold,478
$0 ,,,#VALUE!,#VALUE!,479
6,,,#VALUE!,#VALUE!,480
31. (WR17),,,#VALUE!,#VALUE!,481
"Brandon Aiyuk, SF",,,31,Brandon Aiyuk,482
$26 ,,,#VALUE!,#VALUE!,483
9,,,#VALUE!,#VALUE!,484
111. (TE12),,,#VALUE!,#VALUE!,485
"Dallas Goedert, PHI",,,111,Dallas Goedert,486
$2 ,,,#VALUE!,#VALUE!,487
5,,,#VALUE!,#VALUE!,488
191. (K11),,,#VALUE!,#VALUE!,489
"Younghoe Koo, ATL",,,191,Younghoe Koo,490
$0 ,,,#VALUE!,#VALUE!,491
12,,,#VALUE!,#VALUE!,492
271. (WR97),,,#VALUE!,#VALUE!,493
"Cedric Tillman, CLE",,,271,Cedric Tillman,494
$0 ,,,#VALUE!,#VALUE!,495
10,,,#VALUE!,#VALUE!,496
32. (WR18),,,#VALUE!,#VALUE!,497
"Malik Nabers, NYG",,,32,Malik Nabers,498
$25 ,,,#VALUE!,#VALUE!,499
11,,,#VALUE!,#VALUE!,500
112. (TE13),,,#VALUE!,#VALUE!,501
"Pat Freiermuth, PIT",,,112,Pat Freiermuth,502
$2 ,,,#VALUE!,#VALUE!,503
9,,,#VALUE!,#VALUE!,504
192. (K12),,,#VALUE!,#VALUE!,505
"Jake Bates, DET",,,192,Jake Bates,506
$0 ,,,#VALUE!,#VALUE!,507
5,,,#VALUE!,#VALUE!,508
272. (WR98),,,#VALUE!,#VALUE!,509
"Jonathan Mingo, CAR",,,272,Jonathan Mingo,510
$0 ,,,#VALUE!,#VALUE!,511
11,,,#VALUE!,#VALUE!,512
33. (WR19),,,#VALUE!,#VALUE!,513
"DJ Moore, CHI",,,33,DJ Moore,514
$24 ,,,#VALUE!,#VALUE!,515
7,,,#VALUE!,#VALUE!,516
113. (RB37),,,#VALUE!,#VALUE!,517
"J.K. Dobbins, LAC",,,113,J.K. Dobbins,518
$2 ,,,#VALUE!,#VALUE!,519
5,,,#VALUE!,#VALUE!,520
193. (TE21),,,#VALUE!,#VALUE!,521
"Juwan Johnson, NO",,,193,Juwan Johnson,522
$0 ,,,#VALUE!,#VALUE!,523
12,,,#VALUE!,#VALUE!,524
273. (WR99),,,#VALUE!,#VALUE!,525
"Nelson Agholor, BAL",,,273,Nelson Agholor,526
$0 ,,,#VALUE!,#VALUE!,527
14,,,#VALUE!,#VALUE!,528
34. (WR20),,,#VALUE!,#VALUE!,529
"Calvin Ridley, TEN",,,34,Calvin Ridley,530
$23 ,,,#VALUE!,#VALUE!,531
5,,,#VALUE!,#VALUE!,532
114. (RB38),,,#VALUE!,#VALUE!,533
"Jonathon Brooks, CAR",,,114,Jonathon Brooks,534
$2 ,,,#VALUE!,#VALUE!,535
11,,,#VALUE!,#VALUE!,536
194. (WR72),,,#VALUE!,#VALUE!,537
"Ricky Pearsall, SF",,,194,Ricky Pearsall,538
$0 ,,,#VALUE!,#VALUE!,539
9,,,#VALUE!,#VALUE!,540
274. (WR100),,,#VALUE!,#VALUE!,541
"Elijah Moore, CLE",,,274,Elijah Moore,542
$0 ,,,#VALUE!,#VALUE!,543
10,,,#VALUE!,#VALUE!,544
35. (QB1),,,#VALUE!,#VALUE!,545
"Josh Allen, BUF",,,35,Josh Allen,546
$22 ,,,#VALUE!,#VALUE!,547
12,,,#VALUE!,#VALUE!,548
115. (RB39),,,#VALUE!,#VALUE!,549
"Nick Chubb, CLE",,,115,Nick Chubb,550
$2 ,,,#VALUE!,#VALUE!,551
10,,,#VALUE!,#VALUE!,552
195. (RB58),,,#VALUE!,#VALUE!,553
"Braelon Allen, NYJ",,,195,Braelon Allen,554
$0 ,,,#VALUE!,#VALUE!,555
12,,,#VALUE!,#VALUE!,556
275. (WR101),,,#VALUE!,#VALUE!,557
"Xavier Gipson, NYJ",,,275,Xavier Gipson,558
$0 ,,,#VALUE!,#VALUE!,559
12,,,#VALUE!,#VALUE!,560
36. (TE1),,,#VALUE!,#VALUE!,561
"Sam LaPorta, DET",,,36,Sam LaPorta,562
$22 ,,,#VALUE!,#VALUE!,563
5,,,#VALUE!,#VALUE!,564
116. (RB40),,,#VALUE!,#VALUE!,565
"Chuba Hubbard, CAR",,,116,Chuba Hubbard,566
$2 ,,,#VALUE!,#VALUE!,567
11,,,#VALUE!,#VALUE!,568
196. (RB59),,,#VALUE!,#VALUE!,569
"Rico Dowdle, DAL",,,196,Rico Dowdle,570
$0 ,,,#VALUE!,#VALUE!,571
7,,,#VALUE!,#VALUE!,572
276. (RB83),,,#VALUE!,#VALUE!,573
"Chris Rodriguez Jr., WAS",,,276,Chris Rodriguez Jr.,574
$0 ,,,#VALUE!,#VALUE!,575
14,,,#VALUE!,#VALUE!,576
37. (TE2),,,#VALUE!,#VALUE!,577
"Travis Kelce, KC",,,37,Travis Kelce,578
$22 ,,,#VALUE!,#VALUE!,579
6,,,#VALUE!,#VALUE!,580
